ticker,company_name,fiscal_year,revenue_billions,cost_of_revenue_billions,gross_profit_billions,operating_income_billions,net_income_billions,interest_expense_millions,eps_basic_usd,eps_diluted_usd,total_assets_billions,current_assets_billions,total_liabilities_billions,current_liabilities_billions,stockholders_equity_billions,cash_and_equivalents_billions,short_term_investments_billions,accounts_receivable_billions,long_term_debt_billions,inventory_billions,roe,roa,gross_margin,net_margin,operating_margin,current_ratio,quick_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,equity_turnover
AMD,"ADVANCED MICRO DEVICES, INC.",2023,16.434,8.505,7.929,3.648,3.162,34.0,2.61,2.57,67.58,15.019,67.58,6.369,7.497,4.835,1.02,4.126,2.467,3.771,0.421769,0.046789,0.482475,0.192406,0.221979,2.358141,1.766054,9.014272,1.0,107.294118,0.243178,2.192077
AMD,"ADVANCED MICRO DEVICES, INC.",2022,9.763,5.416,4.347,1.369,2.49,47.0,2.1,2.06,12.419,8.583,12.419,4.24,5.837,2.535,1.073,2.706,0.001,1.955,0.426589,0.200499,0.445252,0.255045,0.140223,2.024292,1.563208,2.127634,1.0,29.12766,0.786134,1.672606
AMD,"ADVANCED MICRO DEVICES, INC.",2021,6.731,3.863,2.868,0.631,0.341,94.0,0.31,0.3,8.962,6.143,8.962,2.417,2.827,1.466,0.695,2.066,0.33,1.399,0.120623,0.03805,0.426088,0.050661,0.093745,2.54158,1.962764,3.170145,1.0,6.712766,0.75106,2.380969
AMD,"ADVANCED MICRO DEVICES, INC.",2020,6.475,4.028,2.447,0.451,0.337,121.0,0.34,0.32,6.028,4.597,6.028,2.359,1.266,1.078,0.037,1.859,0.486,0.982,0.266193,0.055906,0.377915,0.052046,0.069653,1.948707,1.532429,4.761453,1.0,3.727273,1.074154,5.114534
AMZN,AMAZON COM INC,2025,574.785,304.739,270.046,36.852,30.425,3182.0,2.95,2.9,527.854,190.867,624.894,179.431,146.043,78.779,22.423,55.451,52.623,34.214,0.208329,0.057639,0.469821,0.052933,0.064114,1.063735,0.873054,4.278836,1.183839,11.581395,1.088909,3.935724
AMZN,AMAZON COM INC,2024,513.983,288.831,225.152,12.248,-2.722,2367.0,-0.27,-0.27,462.675,172.351,527.854,164.917,138.245,73.387,13.393,52.253,58.314,33.318,-0.01969,-0.005883,0.438053,-0.005296,0.02383,1.045077,0.843048,3.81825,1.140874,5.174482,1.110894,3.717914
AMZN,AMAZON COM INC,2023,469.822,272.344,197.478,24.879,33.364,1809.0,3.3,3.24,420.549,146.791,462.675,155.393,93.404,53.888,16.138,42.36,67.15,34.405,0.357201,0.079334,0.420325,0.071014,0.052954,0.944644,0.723237,4.953482,1.100169,13.752902,1.117164,5.029999
AMZN,AMAZON COM INC,2022,386.064,233.307,152.757,22.899,21.331,1647.0,2.13,2.09,321.195,161.58,420.549,142.266,62.06,36.22,59.829,32.891,48.744,32.64,0.343716,0.066411,0.395678,0.055252,0.059314,1.13576,0.90633,6.77649,1.309326,13.903461,1.201961,6.220819
AMZN,AMAZON COM INC,2021,280.522,165.536,114.986,14.541,11.588,1600.0,23.46,23.01,225.248,132.733,321.195,126.385,43.549,42.122,42.274,24.542,31.816,23.795,0.266091,0.051446,0.4099,0.041309,0.051836,1.050227,0.861954,7.375485,1.425962,9.088125,1.245392,6.441526
AMZN,AMAZON COM INC,2020,232.887,139.156,93.731,12.421,10.073,1417.0,20.68,20.14,162.648,96.334,225.248,87.812,27.709,36.092,18.929,20.816,23.414,20.497,0.363528,0.061931,0.402474,0.043253,0.053335,1.097048,0.863629,8.129056,1.38488,8.765702,1.431847,8.404742
CRM,"Salesforce, Inc.",2025,31.352,8.36,22.992,1.03,0.208,300.0,0.21,0.21,99.823,29.074,40.177,26.631,58.131,8.472,5.722,11.414,8.427,0.0,0.003578,0.002084,0.73335,0.006634,0.032853,1.091735,1.091735,0.691146,0.402482,3.433333,0.314076,0.539334
CRM,"Salesforce, Inc.",2024,26.492,7.026,19.466,0.548,1.444,187.0,1.51,1.48,98.849,26.395,40.49,25.891,41.493,7.016,5.492,10.755,9.419,0.0,0.034801,0.014608,0.734788,0.054507,0.020685,1.019466,1.019466,0.975827,0.409615,2.930481,0.268005,0.638469
CRM,"Salesforce, Inc.",2023,21.252,5.438,15.814,0.455,4.072,110.0,4.48,4.38,95.209,22.85,37.078,21.788,33.885,5.464,5.073,9.739,10.592,0.0,0.120171,0.042769,0.744118,0.191605,0.02141,1.048742,1.048742,1.09423,0.389438,4.136364,0.223214,0.62718
CRM,"Salesforce, Inc.",2022,17.098,4.235,12.863,0.297,0.126,110.0,0.15,0.15,66.301,21.889,24.808,17.728,15.605,6.195,5.771,7.786,2.673,0.0,0.008074,0.0019,0.75231,0.007369,0.01737,1.234713,1.234713,1.589747,0.374172,2.7,0.257884,1.095674
CRM,"Salesforce, Inc.",2021,13.282,3.451,9.831,0.535,1.11,126.0,1.48,1.43,55.126,15.963,21.241,14.845,10.376,4.145,3.802,6.174,2.673,0.0,0.106978,0.020136,0.740175,0.083572,0.04028,1.075312,1.075312,2.047128,0.385317,4.246032,0.240939,1.280069
CRM,"Salesforce, Inc.",2020,10.54,2.773,7.767,0.454,0.36,54.0,0.5,0.49,30.737,10.683,15.132,11.255,8.23,2.669,1.673,4.924,3.173,0.0,0.043742,0.011712,0.736907,0.034156,0.043074,0.949178,0.949178,1.838639,0.492306,8.407407,0.342909,1.28068
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2024,2.241236,0.601231,1.640005,-0.190112,-0.183245,25.319,-0.79,-0.79,6.64652,4.757307,4.309431,2.697279,2.30395,2.455369,0.099591,0.853105,0.742494,0.0,-0.079535,-0.02757,0.731741,-0.081761,-0.084825,1.763743,1.763743,1.870453,0.648374,-7.508669,0.337204,0.97278
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2023,1.451594,0.383221,1.068373,-0.142548,-0.234802,25.231,-1.03,-1.03,5.02654,3.640267,3.539106,2.109072,1.463641,1.996633,0.25,0.626181,0.741005,0.0,-0.160423,-0.046712,0.736,-0.161755,-0.098201,1.726004,1.726004,2.418015,0.704084,-5.649717,0.288786,0.991769
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2022,0.481413,0.141627,0.339786,-0.146065,-0.141779,0.442,-0.96,-0.96,2.732533,2.292274,1.860659,0.863553,0.870574,1.918608,0.0,0.239199,0.738029,0.0,-0.162857,-0.051886,0.70581,-0.294506,-0.303409,2.654468,2.654468,2.137278,0.680928,-330.463801,0.176178,0.552983
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2021,0.249824,0.087238,0.162586,-0.136864,-0.140077,0.428,-3.12,-3.12,1.404906,1.171636,0.662299,0.493096,0.742107,0.063179,0.001957,0.164987,0.0,0.0,-0.188756,-0.099706,0.650802,-0.560703,-0.547842,2.376081,2.376081,0.892458,0.471419,-319.775701,0.177823,0.336641
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2020,0.118752,0.054486,0.064266,-0.13144,-0.13549,1.648,-3.38,-3.38,0.433219,0.331388,0.3631,0.28142,-0.487793,0.022826,0.103247,0.092476,0.0,0.0,0.277761,-0.312752,0.541178,-1.140949,-1.106845,1.177557,1.177557,-0.744373,0.838144,-79.757282,0.274115,-0.243448
CSCO,"CISCO SYSTEMS, INC.",2025,56.998,21.245,35.753,15.031,12.613,427.0,3.08,3.07,124.413,36.862,78.956,40.584,39.773,7.508,10.346,6.685,19.621,3.373,0.317125,0.10138,0.627268,0.221288,0.263711,0.908289,0.825177,1.985166,0.634628,35.201405,0.458135,1.433083
CSCO,"CISCO SYSTEMS, INC.",2024,51.557,19.309,32.248,13.969,11.812,360.0,2.83,2.82,101.852,43.348,57.499,31.309,41.275,10.123,16.023,5.854,6.658,3.644,0.286178,0.115972,0.625482,0.229106,0.270943,1.384522,1.268134,1.393071,0.564535,38.802778,0.506195,1.24911
CSCO,"CISCO SYSTEMS, INC.",2023,49.818,17.924,31.894,12.833,10.591,434.0,2.51,2.5,94.002,36.717,54.229,25.64,37.92,7.079,12.188,6.622,8.416,2.568,0.279299,0.112668,0.64021,0.212594,0.257598,1.43202,1.331864,1.43009,0.576892,29.569124,0.529967,1.313766
CSCO,"CISCO SYSTEMS, INC.",2022,49.301,17.618,31.683,13.62,11.214,585.0,2.65,2.64,97.497,39.112,56.222,26.257,33.571,9.175,15.343,5.766,9.018,1.559,0.334038,0.115019,0.642644,0.22746,0.276262,1.489584,1.430209,1.674719,0.576654,23.282051,0.505667,1.468559
CSCO,"CISCO SYSTEMS, INC.",2021,51.904,19.238,32.666,14.219,11.621,859.0,2.63,2.61,94.853,43.573,56.933,25.331,43.204,11.809,17.61,5.472,11.578,1.282,0.26898,0.122516,0.629354,0.223894,0.273948,1.720145,1.669535,1.317772,0.600224,16.552969,0.547205,1.20137
CSCO,"CISCO SYSTEMS, INC.",2020,49.33,18.724,30.606,12.309,0.11,943.0,0.02,0.02,97.793,47.755,64.222,31.712,66.137,11.75,21.663,5.491,14.475,1.383,0.001663,0.001125,0.620434,0.00223,0.249524,1.505897,1.462286,0.971045,0.656714,13.053022,0.504433,0.745876
GOOGL,ALPHABET INC.,2025,307.394,133.332,174.062,84.293,73.795,308.0,5.84,5.8,450.256,163.711,125.172,89.122,256.144,23.466,72.191,52.34,10.883,0.0,0.2881,0.163896,0.56625,0.240066,0.274218,1.836931,1.836931,0.488678,0.278002,273.678571,0.682709,1.200083
GOOGL,ALPHABET INC.,2024,282.836,126.203,156.633,74.842,59.972,357.0,4.59,4.56,402.392,171.53,119.013,81.814,251.635,24.048,86.868,47.964,11.87,0.0,0.238329,0.149039,0.553794,0.212038,0.264613,2.096585,2.096585,0.472959,0.295764,209.641457,0.702887,1.123993
GOOGL,ALPHABET INC.,2023,257.637,110.939,146.698,78.714,76.033,346.0,5.69,5.61,365.264,164.795,109.12,69.3,222.544,21.879,91.883,40.258,14.862,0.0,0.341654,0.208159,0.569398,0.295117,0.305523,2.377994,2.377994,0.49033,0.298743,227.49711,0.705345,1.15769
GOOGL,ALPHABET INC.,2022,182.527,84.732,97.795,41.224,40.269,135.0,2.96,2.93,359.268,188.143,107.633,64.254,201.442,20.945,118.704,39.304,15.312,1.17,0.199904,0.112086,0.535784,0.220619,0.225852,2.928113,2.909904,0.534313,0.29959,305.362963,0.508052,0.906102
GOOGL,ALPHABET INC.,2021,161.857,71.896,89.961,34.231,34.343,100.0,49.59,49.16,319.616,174.296,97.072,56.834,177.628,26.465,110.229,30.93,15.44,0.728,0.193342,0.107451,0.555805,0.212181,0.211489,3.066756,3.053947,0.54649,0.303714,342.31,0.506411,0.911213
GOOGL,ALPHABET INC.,2020,136.819,59.549,77.27,27.524,30.736,114.0,44.22,43.7,275.909,152.578,74.467,45.221,152.502,18.498,101.177,25.326,15.319,0.999,0.201545,0.111399,0.564761,0.224647,0.201171,3.374052,3.35196,0.488302,0.269897,241.438596,0.495885,0.897162
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2025,61.86,27.56,34.3,NA,7.502,1607.0,8.23,8.14,137.175,34.482,109.783,33.142,27.307,13.947,0.009,6.804,49.884,1.289,0.274728,0.054689,0.554478,0.121274,NA,1.040432,1.001539,4.020324,0.800313,NA,0.450957,2.265353
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2024,60.53,27.842,32.687,NA,1.639,1216.0,1.82,1.8,135.241,32.908,112.628,34.122,22.533,13.068,0.007,7.214,50.121,1.161,0.072738,0.012119,0.540013,0.027077,NA,0.964422,0.930397,4.998358,0.832795,NA,0.447571,2.686282
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2023,57.35,25.865,31.486,NA,5.743,1155.0,6.41,6.35,127.243,29.118,105.222,31.505,21.944,7.886,0.021,6.541,46.189,1.552,0.261712,0.045134,0.549015,0.100139,NA,0.924234,0.874972,4.795024,0.826937,NA,0.450712,2.613471
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,2022,55.179,24.314,30.865,NA,5.59,1288.0,6.28,6.23,155.971,29.539,113.005,33.619,18.901,6.65,0.028,6.754,44.917,1.649,0.295752,0.03584,0.559361,0.101307,NA,0.87864,0.82959,5.978784,0.724526,NA,0.353777,2.919369
