ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
CRM,"Salesforce, Inc.",2023,21252000000,4072000000,15814000000,455000000.0,5438000000,110000000.0,4.48,4.38,95209000000,37078000000.0,33885000000,22850000000,21788000000,5464000000,5073000000.0,9739000000,10592000000.0,
CRM,"Salesforce, Inc.",2022,17098000000,126000000,12863000000,297000000.0,4235000000,110000000.0,0.15,0.15,66301000000,24808000000.0,15605000000,21889000000,17728000000,6195000000,5771000000.0,7786000000,2673000000.0,
CRM,"Salesforce, Inc.",2021,13282000000,1110000000,9831000000,535000000.0,3451000000,126000000.0,1.48,1.43,55126000000,21241000000.0,10376000000,15963000000,14845000000,4145000000,3802000000.0,6174000000,2673000000.0,
CRM,"Salesforce, Inc.",2020,10540000000,360000000,7767000000,454000000.0,2773000000,54000000.0,0.5,0.49,30737000000,15132000000.0,8230000000,10683000000,11255000000,2669000000,1673000000.0,4924000000,3173000000.0,
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2024,2241236000,-183245000,1640005000,-190112000.0,601231000,25319000.0,-0.79,-0.79,6646520000,4309431000.0,2303950000,4757307000,2697279000,2455369000,99591000.0,853105000,742494000.0,
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2023,1451594000,-234802000,1068373000,-142548000.0,383221000,25231000.0,-1.03,-1.03,5026540000,3539106000.0,1463641000,3640267000,2109072000,1996633000,250000000.0,626181000,741005000.0,
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2022,481413000,-141779000,339786000,-146065000.0,141627000,442000.0,-0.96,-0.96,2732533000,1860659000.0,870574000,2292274000,863553000,1918608000,0.0,239199000,738029000.0,
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2021,249824000,-140077000,162586000,-136864000.0,87238000,428000.0,-3.12,-3.12,1404906000,662299000.0,742107000,1171636000,493096000,63179000,1957000.0,164987000,0.0,
CRWD,"CROWDSTRIKE HOLDINGS, INC.",2020,118752000,-135490000,64266000,-131440000.0,54486000,1648000.0,-3.38,-3.38,433219000,363100000.0,-487793000,331388000,281420000,22826000,103247000.0,92476000,,
CSCO,"CISCO SYSTEMS, INC.",2025,56998000000,12613000000,35753000000,15031000000.0,21245000000,427000000.0,3.08,3.07,124413000000,78956000000.0,39773000000,36862000000,40584000000,7508000000,10346000000.0,6685000000,19621000000.0,3373000000.0
CSCO,"CISCO SYSTEMS, INC.",2024,51557000000,11812000000,32248000000,13969000000.0,19309000000,360000000.0,2.83,2.82,101852000000,57499000000.0,41275000000,43348000000,31309000000,10123000000,16023000000.0,5854000000,6658000000.0,3644000000.0
CSCO,"CISCO SYSTEMS, INC.",2023,49818000000,10591000000,31894000000,12833000000.0,17924000000,434000000.0,2.51,2.5,94002000000,54229000000.0,37920000000,36717000000,25640000000,7079000000,12188000000.0,6622000000,8416000000.0,2568000000.0
CSCO,"CISCO SYSTEMS, INC.",2022,49301000000,11214000000,31683000000,13620000000.0,17618000000,585000000.0,2.65,2.64,97497000000,56222000000.0,33571000000,39112000000,26257000000,9175000000,15343000000.0,5766000000,9018000000.0,1559000000.0
CSCO,"CISCO SYSTEMS, INC.",2021,51904000000,11621000000,32666000000,14219000000.0,19238000000,859000000.0,2.63,2.61,94853000000,56933000000.0,43204000000,43573000000,25331000000,11809000000,17610000000.0,5472000000,11578000000.0,1282000000.0
CSCO,"CISCO SYSTEMS, INC.",2020,49330000000,110000000,30606000000,12309000000.0,18724000000,943000000.0,0.02,0.02,97793000000,64222000000.0,66137000000,47755000000,31712000000,11750000000,21663000000.0,5491000000,14475000000.0,1383000000.0
GOOGL,ALPHABET INC.,2025,307394000000,73795000000,174062000000,84293000000.0,133332000000,308000000.0,5.84,5.8,450256000000,125172000000.0,256144000000,163711000000,89122000000,23466000000,72191000000.0,52340000000,10883000000.0,
GOOGL,ALPHABET INC.,2024,282836000000,59972000000,156633000000,74842000000.0,126203000000,357000000.0,4.59,4.56,402392000000,119013000000.0,251635000000,171530000000,81814000000,24048000000,86868000000.0,47964000000,11870000000.0,
