ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
QCOM,QUALCOMM INC/DE,2025,35820000000,7232000000,19951000000,7788000000,15869000000,694000000,6.47,6.42,55154000000,28880000000,18013000000,25231000000,10504000000,7849000000,5451000000,2347000000,13270000000,6423000000
QCOM,QUALCOMM INC/DE,2024,44200000000,12936000000,25565000000,15860000000,18635000000,490000000,11.52,11.37,51040000000,29459000000,9950000000,22464000000,9628000000,8450000000,2874000000,1923000000,14484000000,6422000000
QCOM,QUALCOMM INC/DE,2023,33566000000,9043000000,19304000000,9789000000,14262000000,559000000,7.99,7.87,49014000000,31001000000,6077000000,20724000000,11866000000,2773000000,3609000000,4175000000,13537000000,6341000000
QCOM,QUALCOMM INC/DE,2022,23531000000,5198000000,14276000000,6255000000,9255000000,602000000,4.58,4.52,41240000000,31290000000,4909000000,20075000000,11951000000,7116000000,5298000000,2214000000,13701000000,3228000000
QCOM,QUALCOMM INC/DE,2021,24273000000,4386000000,15674000000,7667000000,8599000000,627000000,3.63,3.59,35594000000,29517000000,807000000,18519000000,8672000000,6707000000,4507000000,2687000000,15226000000,2598000000
QCOM,QUALCOMM INC/DE,2020,22611000000,-4964000000,12367000000,621000000,10244000000,768000000,-3.39,-3.39,32718000000,28048000000,30725000000,16765000000,8935000000,11839000000,421000000,1046000000,13437000000,1400000000
