ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
PYPL,"PayPal Holdings, Inc.",2025,29771000000,4246000000,5028000000,5028000000,24743000000,347000000,3.85,3.84,78725000000,58308000000,20274000000,58206000000,45490000000,9081000000,4262000000,984000000,9879000000,
PYPL,"PayPal Holdings, Inc.",2024,27518000000,2419000000,3837000000,3837000000,23681000000,304000000,2.1,2.09,82166000000,61115000000,21727000000,62569000000,48466000000,7776000000,4979000000,1069000000,9676000000,
PYPL,"PayPal Holdings, Inc.",2023,25371000000,4169000000,4262000000,4262000000,21109000000,232000000,3.55,3.52,78624000000,58350000000,20274000000,57424000000,45008000000,5197000000,3092000000,963000000,10417000000,
PYPL,"PayPal Holdings, Inc.",2022,21454000000,4202000000,3289000000,3289000000,18165000000,209000000,3.58,3.54,75803000000,54076000000,21727000000,52574000000,43029000000,4794000000,4303000000,800000000,8049000000,
PYPL,"PayPal Holdings, Inc.",2021,17772000000,2459000000,2719000000,2719000000,15053000000,115000000,2.09,2.07,70379000000,50316000000,20019000000,50995000000,38447000000,7349000000,8289000000,577000000,8939000000,
PYPL,"PayPal Holdings, Inc.",2020,15451000000,2057000000,2194000000,2194000000,13257000000,77000000,1.74,1.71,51333000000,34404000000,16885000000,38495000000,26919000000,7575000000,3412000000,435000000,4965000000,
