ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
SNOW,SNOWFLAKE INC.,2025,2065659000,-796705000,1348119000,-842267000,717540000,0,-2.5,-2.5,8223383000,3032789000,5180308000,5039264000,2731230000,939902000,2083499000,926902000,0.0,
SNOW,SNOWFLAKE INC.,2024,1219327000,-679948000,760894000,-715036000,458433000,9129000,-2.26,-2.26,7722322000,2253707000,5456436000,4984690000,1993517000,1085729000,3067966000,715821000,,
SNOW,SNOWFLAKE INC.,2023,592049000,-539102000,349461000,-543937000,242588000,7507000,-3.81,-3.81,6649698000,1600653000,5049045000,4598643000,1397093000,820177000,2766364000,545629000,,
SNOW,SNOWFLAKE INC.,2022,264748000,-348535000,148191000,-358088000,116557000,11551000,-7.77,-7.77,5921739000,985268000,-312467000,4300652000,789264000,127206000,3087887000,294017000,,
SNOW,SNOWFLAKE INC.,2021,96666000,-178028000,44913000,-185465000,51753000,8759000,-4.67,-4.67,1012720000,621003000,-131892000,665194000,416455000,116541000,306844000,179459000,,
