ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
TSLA,"Tesla, Inc.",2025,96773000000,14997000000,17660000000,8891000000,79113000000,156000000,4.73,4.3,122070000000,48390000000,72913000000,58360000000,28821000000,16398000000,20424000000.0,4418000000,5535000000,12017000000
TSLA,"Tesla, Inc.",2024,81462000000,12556000000,20853000000,13656000000,60609000000,191000000,4.02,3.62,106618000000,43009000000,62634000000,49616000000,28748000000,16253000000,12696000000.0,3508000000,2682000000,13626000000
TSLA,"Tesla, Inc.",2023,53823000000,5519000000,13606000000,6523000000,40217000000,371000000,1.87,1.63,82338000000,36440000000,44704000000,40917000000,26709000000,17576000000,5932000000.0,2952000000,1029000000,12839000000
TSLA,"Tesla, Inc.",2022,31536000000,721000000,6630000000,1994000000,24906000000,748000000,0.25,0.21,62131000000,30548000000,30189000000,27100000000,19705000000,19384000000,131000000.0,1913000000,4254000000,5757000000
TSLA,"Tesla, Inc.",2021,24578000000,-862000000,4069000000,-69000000,20509000000,685000000,-0.98,-0.98,52148000000,28418000000,22225000000,26717000000,14248000000,6268000000,131000000.0,1886000000,8462000000,4101000000
TSLA,"Tesla, Inc.",2020,21461000000,-976000000,4042000000,-388000000,17419000000,663000000,-1.14,-1.14,34309000000,26199000000,6618000000,12103000000,10667000000,3686000000,,1324000000,10402000000,3552000000
