ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
UBER,"UBER TECHNOLOGIES, INC.",2025,37281000000,1887000000,14824000000,1110000000,22457000000,633000000,0.93,0.87,51244000000,28768000000,21558000000,12245000000,11476000000,4680000000,1084000000,3333000000,8347000000,
UBER,"UBER TECHNOLOGIES, INC.",2024,31877000000,-9141000000,12218000000,-1832000000,19659000000,525000000,-4.64,-4.65,38699000000,26017000000,11249000000,11297000000,9454000000,4208000000,727000000,3404000000,9459000000,
UBER,"UBER TECHNOLOGIES, INC.",2023,17455000000,-496000000,8104000000,-3834000000,9351000000,483000000,-0.26,-0.29,32109000000,23605000000,7340000000,9249000000,8853000000,4295000000,103000000,2779000000,9265000000,
UBER,"UBER TECHNOLOGIES, INC.",2022,11139000000,-6768000000,5985000000,-4863000000,5154000000,458000000,-3.86,-3.86,38774000000,23425000000,14458000000,8819000000,9024000000,5647000000,0,2439000000,9276000000,
UBER,"UBER TECHNOLOGIES, INC.",2021,13000000000,-8506000000,6939000000,-8596000000,6061000000,559000000,-6.81,-6.81,33252000000,19498000000,12266000000,9882000000,6865000000,10873000000,1180000000,1073000000,7560000000,
UBER,"UBER TECHNOLOGIES, INC.",2020,10433000000,997000000,5647000000,-3033000000,4786000000,648000000,0.0,0.0,31761000000,16578000000,14190000000,13925000000,5639000000,6406000000,440000000,1214000000,5707000000,
