ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
WDAY,"WORKDAY, INC.",2025,6216000000,-367000000,-222000000,-222000000,6438000000,102000000,-1.44,-1.44,16452000000,8370000000,5585000000,9939000000,5055000000,1886000000,5801000000,1639000000,2980000000,
WDAY,"WORKDAY, INC.",2024,5139000000,29000000,-116000000,-116000000,5255000000,17000000,0.12,0.12,13486000000,7901000000,4535000000,8108000000,4628000000,1534000000,4235000000,1570000000,2976000000,
WDAY,"WORKDAY, INC.",2023,4317996000,-282431000,-248599000,-248599000,4566595000,68806000,-1.19,-1.19,10498505000,5963423000,3277834000,5214065000,5067855000,1384181000,2109888000,1242545000,617354000,
WDAY,"WORKDAY, INC.",2022,3627206000,-480674000,-502230000,-502230000,4129436000,58685000,-2.12,-2.12,8718411000,5440577000,2486551000,4802061000,4282648000,731141000,2151472000,1032484000,691913000,
WDAY,"WORKDAY, INC.",2021,2822180000,-418258000,-463284000,-463284000,3285464000,60209000,-1.93,-1.93,6816365000,4329814000,1958442000,3094622000,2969404000,638554000,1213432000,877578000,1017967000,
WDAY,"WORKDAY, INC.",2020,2143050000,-321222000,-303223000,-303223000,2446273000,44549000,-1.55,-1.55,5520746000,3562304000,1580365000,2700596000,2430691000,1134355000,1139864000,704680000,232514000,
