ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
SQ,"BLOCK, INC.",2025,21915623000,9772000,7504886000,-278839000,14410737000,0,0.02,0.02,36777595000,15542633000,21267932000,19880201000,8546798000,4996465000,1939000,148898000,5105939000,104990000
SQ,"BLOCK, INC.",2024,17531587000,-540747000,5991892000,-624532000,11539695000,0,-0.93,-0.93,33031308000,14338472000,18695256000,17818697000,8883044000,4544202000,3332000,134824000,4120091000,110097000
SQ,"BLOCK, INC.",2023,17661203000,166284000,4419823000,161112000,13241380000,-33124000,0.36,0.33,31364340000,14112985000,17222879000,15623405000,8434516000,4443669000,4332000,140508000,4109829000,97703000
SQ,"BLOCK, INC.",2022,9497578000,213105000,2733409000,-18815000,6764169000,-56943000,0.48,0.44,15026360000,11712771000,3272855000,11621524000,6535700000,3158058000,1953000,89702000,4559208000,77058000
SQ,"BLOCK, INC.",2021,4713500000,375446000,1889685000,26557000,2823815000,44900000,0.88,0.81,9869550000,7187981000,2681569000,7761629000,4126104000,1047118000,6375000,41960000,2586924000,61129000
SQ,"BLOCK, INC.",2020,3298177000,-38453000,1303700000,-36614000,1994477000,37800000,-0.09,-0.09,4551258000,2836208000,786333000,3219801000,1694085000,1047118000,2512000,33863000,938832000,47683000
