ticker,company_name,fiscal_year,revenue,net_income,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,long_term_debt,inventory,roe,roa,gross_margin,net_margin,operating_margin,current_ratio,debt_to_equity
AAPL,Apple Inc.,2025,383.285,96.995,364.98,308.03,50.672,152987.0,176392.0,29943.0,35228.0,33410.0,169.148,114.301,214.137,,6.16,6.13,85750.0,7286.0,1.9142,0.2658,0.4413,0.2531,0.2982,0.8673,6.0789
AAPL,Apple Inc.,2024,394.328,99.803,352.583,290.437,63.09,143566.0,145308.0,29965.0,31590.0,29508.0,170.782,119.437,223.546,,6.15,6.11,95281.0,6331.0,1.5819,0.2831,0.4331,0.2531,0.3029,0.988,4.6035
AAPL,Apple Inc.,2023,365.817,94.68,352.755,302.083,65.339,135405.0,153982.0,23646.0,24658.0,28184.0,152.836,108.949,212.981,2645.0,5.67,5.61,98959.0,4946.0,1.4491,0.2684,0.4178,0.2588,0.2978,0.8794,4.6233
AAPL,Apple Inc.,2022,274.515,57.411,351.002,287.912,90.488,134836.0,125481.0,34940.0,27699.0,26278.0,104.956,66.288,169.559,2873.0,3.31,3.28,109106.0,6580.0,0.6345,0.1636,0.3823,0.2091,0.2415,1.0746,3.1818
AAPL,Apple Inc.,2021,260.174,55.256,323.888,258.549,107.147,143713.0,105392.0,38016.0,52927.0,16120.0,98.392,63.93,161.782,3576.0,2.99,2.97,98667.0,4061.0,0.5157,0.1706,0.3782,0.2124,0.2457,1.3636,2.413
AAPL,Apple Inc.,2020,265.595,59.531,338.516,248.028,134.047,162819.0,105718.0,48844.0,51713.0,22926.0,101.839,70.898,163.756,3240.0,3.0,2.98,91807.0,4106.0,0.4441,0.1759,0.3834,0.2241,0.2669,1.5401,1.8503
