ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
TWLO,Twilio Inc.,2025,4153945000,-1015441000,2043930000,-876541000,2110015000,38389000.0,-5.54,-5.54,9865472000,1912506000,10559042000,3447299000,820220000,655931000,1963102000,588540000,990587000,
TWLO,Twilio Inc.,2024,3826321000,-1256145000,1813577000,-1205308000,2012744000,37500000.0,-6.86,-6.86,11609707000,1877155000,11031466000,4903972000,738297000,651752000,3356064000,562773000,988953000,
TWLO,Twilio Inc.,2023,2841839000,-949900000,1390713000,-915584000,1451126000,20637000.0,-5.45,-5.45,12564304000,2005262000,8452665000,4984086000,808158000,1479452000,3503317000,547507000,987382000,
TWLO,Twilio Inc.,2022,1761776000,-490979000,915661000,-492901000,846115000,,-3.35,-3.35,12998598000,1967132000,4279411000,5932228000,703550000,933885000,3878430000,388215000,985907000,
TWLO,Twilio Inc.,2021,1134468000,-307063000,608917000,-369785000,525551000,,-2.36,-2.36,9487433000,1034768000,438235000,3372335000,448306000,253735000,2105906000,251167000,302068000,
TWLO,Twilio Inc.,2020,650067000,-121949000,349226000,-115235000,300841000,708000.0,-1.26,-1.26,5150516000,871105000,359846000,2061331000,247222000,253660000,6342000,154067000,458190000,
