ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
ZM,"Zoom Communications, Inc.",2025,4392960000,103711000,3292509000,245429000,1100451000,41418000,0.35,0.34,9929793000,1910387000,5780018000,7926219000,1762187000,1086830000,5404233000,536078000,,
ZM,"Zoom Communications, Inc.",2024,4099864000,1375639000,3045310000,1063591000,1054554000,-5720000,4.64,4.5,8128065000,1921458000,3860767000,6356412000,1738644000,1062820000,4325836000,557404000,,
ZM,"Zoom Communications, Inc.",2023,2651368000,672316000,1829379000,659848000,821989000,15648000,2.37,2.25,7551318000,1771300000,833943000,6183807000,1579691000,2240303000,4356446000,419673000,,
ZM,"Zoom Communications, Inc.",2022,622658000,25305000,507262000,12696000,115396000,13666000,0.09,0.09,5297993000,1437226000,-7439000,4792865000,1259966000,283134000,2004410000,294703000,,
ZM,"Zoom Communications, Inc.",2021,330517000,7584000,269516000,6167000,61001000,2182000,0.0,0.0,1289845000,455902000,-26671000,1095522000,333830000,63624000,572060000,120435000,,
ZM,"Zoom Communications, Inc.",2020,151478000,-3822000,120698000,-4833000,30780000,1315000,-0.11,-0.11,354565000,202452000,-28838000,276719000,152341000,36146000,112777000,63613000,14858000.0,
